Name,Age,City,Score,Hours_Study,Projects,Efficiency,Cluster,Recommendation
Mr. Juan Stein MD,16,Brownside,7,1,1,7.0,Medium,Майже молодець! Сфокуйсуватись на ефективності
Darryl Wolf,13,West Williamside,10,5,2,2.0,Low,Не будь слабим. Збільшуй навчання!
Jessica Archer,12,Rhodeschester,4,1,2,4.0,High,Покращувати ефективність
Christian Smith,13,Sandytown,3,1,1,3.0,High,Покращувати ефективність
Joseph Page,11,South Sheliabury,5,2,3,2.5,High,Покращувати ефективність
James Stevens,16,East Ronaldburgh,9,5,3,1.8,Low,Не будь слабим. Збільшуй навчання!
Aaron Alexander,18,Heathchester,2,5,1,0.4,High,Покращувати ефективність
Maria Curry,17,New Albertstad,4,4,1,1.0,High,Покращувати ефективність
Jay Maxwell,16,Frankside,12,1,1,12.0,Medium,Майже молодець! Сфокуйсуватись на ефективності
Antonio Gibson MD,13,East Ronaldbury,6,1,1,6.0,Medium,Майже молодець! Сфокуйсуватись на ефективності
Frank Cross,16,Richardbury,11,4,3,2.75,Low,Не будь слабим. Збільшуй навчання!
Beth Flores,13,Melissamouth,3,1,2,3.0,High,Покращувати ефективність
Jeffrey Williams,17,East Daisyburgh,11,3,3,3.6666666666666665,Low,Не будь слабим. Збільшуй навчання!
Brandon Bowers,12,Port Charlesburgh,10,5,2,2.0,Low,Не будь слабим. Збільшуй навчання!
Ronald Kline,15,Jonestown,2,3,1,0.6666666666666666,High,Покращувати ефективність
Tyrone Martin,18,East Rachelton,11,1,2,11.0,Medium,Майже молодець! Сфокуйсуватись на ефективності
Kimberly Williams,11,Elizabethburgh,8,2,3,4.0,Medium,Майже молодець! Сфокуйсуватись на ефективності
John Brown,15,Andrewside,7,4,2,1.75,Low,Не будь слабим. Збільшуй навчання!
Marissa Smith,10,Baileyview,5,2,2,2.5,High,Покращувати ефективність
Judith Foster,18,West Christinetown,1,3,1,0.3333333333333333,High,Покращувати ефективність
Erin Black,16,Port Joshuaport,4,3,1,1.3333333333333333,High,Покращувати ефективність
Jessica Phillips,15,Harveyville,9,3,1,3.0,Low,Не будь слабим. Збільшуй навчання!
Donald Schneider,11,Christinachester,8,5,1,1.6,Low,Не будь слабим. Збільшуй навчання!
Amanda Williams,18,Barnesport,4,4,1,1.0,High,Покращувати ефективність
Matthew Oneal,17,Stephensonstad,1,4,1,0.25,High,Покращувати ефективність
Eric White,15,Erinport,3,2,2,1.5,High,Покращувати ефективність
Mr. Jesus Mccoy,13,Joshuaborough,12,3,1,4.0,Low,Не будь слабим. Збільшуй навчання!
Lori Moore,12,Dannybury,12,4,3,3.0,Low,Не будь слабим. Збільшуй навчання!
Courtney Torres,17,Port Jeff,10,4,3,2.5,Low,Не будь слабим. Збільшуй навчання!
John Salazar,12,Devinville,9,5,1,1.8,Low,Не будь слабим. Збільшуй навчання!
Nathan Jackson,12,Derekfort,1,4,3,0.25,High,Покращувати ефективність
Matthew Hill,11,Davidberg,1,2,2,0.5,High,Покращувати ефективність
Gary Aguilar,12,Nicolefurt,8,2,2,4.0,Medium,Майже молодець! Сфокуйсуватись на ефективності
David Molina,16,Lake Angela,2,2,3,1.0,High,Покращувати ефективність
David Jones,16,Stephenmouth,11,4,2,2.75,Low,Не будь слабим. Збільшуй навчання!
Daniel Martin,11,Sanchezburgh,3,1,3,3.0,High,Покращувати ефективність
Hannah Holland,14,Kristinfurt,10,2,1,5.0,Medium,Майже молодець! Сфокуйсуватись на ефективності
Patrick Wheeler,10,Carlyberg,7,2,2,3.5,Medium,Майже молодець! Сфокуйсуватись на ефективності
Christine Gonzalez,15,Morahaven,3,2,3,1.5,High,Покращувати ефективність
Crystal Riley,18,North Timothy,7,1,3,7.0,Medium,Майже молодець! Сфокуйсуватись на ефективності
Pamela Lucas,13,Durhamport,1,1,1,1.0,High,Покращувати ефективність
Daniel Olson,13,Lake Angelaview,8,2,1,4.0,Medium,Майже молодець! Сфокуйсуватись на ефективності
