Name,Age,City,Score,Hours_Study,Projects,Efficiency
Mr. Juan Stein MD,16,Brownside,7,1,1,7.0
Darryl Wolf,13,West Williamside,10,5,2,2.0
Jessica Archer,12,Rhodeschester,4,1,2,4.0
Christian Smith,13,Sandytown,3,1,1,3.0
Joseph Page,11,South Sheliabury,5,2,3,2.5
James Stevens,16,East Ronaldburgh,9,5,3,1.8
Aaron Alexander,18,Heathchester,2,5,1,0.4
Maria Curry,17,New Albertstad,4,4,1,1.0
Jay Maxwell,16,Frankside,12,1,1,12.0
Antonio Gibson MD,13,East Ronaldbury,6,1,1,6.0
Frank Cross,16,Richardbury,11,4,3,2.75
Beth Flores,13,Melissamouth,3,1,2,3.0
Jeffrey Williams,17,East Daisyburgh,11,3,3,3.6666666666666665
Brandon Bowers,12,Port Charlesburgh,10,5,2,2.0
Ronald Kline,15,Jonestown,2,3,1,0.6666666666666666
Tyrone Martin,18,East Rachelton,11,1,2,11.0
Kimberly Williams,11,Elizabethburgh,8,2,3,4.0
John Brown,15,Andrewside,7,4,2,1.75
Marissa Smith,10,Baileyview,5,2,2,2.5
Judith Foster,18,West Christinetown,1,3,1,0.3333333333333333
Erin Black,16,Port Joshuaport,4,3,1,1.3333333333333333
Jessica Phillips,15,Harveyville,9,3,1,3.0
Donald Schneider,11,Christinachester,8,5,1,1.6
Amanda Williams,18,Barnesport,4,4,1,1.0
Matthew Oneal,17,Stephensonstad,1,4,1,0.25
Eric White,15,Erinport,3,2,2,1.5
Mr. Jesus Mccoy,13,Joshuaborough,12,3,1,4.0
Lori Moore,12,Dannybury,12,4,3,3.0
Courtney Torres,17,Port Jeff,10,4,3,2.5
John Salazar,12,Devinville,9,5,1,1.8
Nathan Jackson,12,Derekfort,1,4,3,0.25
Matthew Hill,11,Davidberg,1,2,2,0.5
Gary Aguilar,12,Nicolefurt,8,2,2,4.0
David Molina,16,Lake Angela,2,2,3,1.0
David Jones,16,Stephenmouth,11,4,2,2.75
Daniel Martin,11,Sanchezburgh,3,1,3,3.0
Hannah Holland,14,Kristinfurt,10,2,1,5.0
Patrick Wheeler,10,Carlyberg,7,2,2,3.5
Christine Gonzalez,15,Morahaven,3,2,3,1.5
Crystal Riley,18,North Timothy,7,1,3,7.0
Pamela Lucas,13,Durhamport,1,1,1,1.0
Daniel Olson,13,Lake Angelaview,8,2,1,4.0
Curtis Roberts,14,South Roberto,9,3,2,3.0
Susan Williams,16,Lozanoville,3,4,2,0.75
Kristine Hood,15,South Danielfurt,12,1,1,12.0
Monica Nguyen,17,East Keith,1,1,1,1.0
Jennifer Owen,12,Andreport,12,4,2,3.0
Ronald Jimenez,12,West Anna,10,5,1,2.0
Linda Smith,16,Gardnerchester,2,2,2,1.0
