Name,Age,Favorite_Fruit
Carlos Solis,24,Peach
Jennifer Shaffer,21,Pineapple
William Boone,20,Apple
Nancy Harding,21,Apple
Michael West,30,Banana
Rachel Smith,22,Watermelon
Patrick Booth,24,Pineapple
Megan Johnson,28,Watermelon
Gregory Guzman,26,Banana
Valerie Franco,27,Peach
Robert Le,21,Peach
Megan Wilkins,29,Pineapple
Michael Duke,27,Apple
Walter Castillo,30,Melon
Elizabeth Johnston,23,Melon
Alexa Sandoval,24,Melon
Andrew Vaughan,28,Apple
John Elliott,20,Peach
Molly Holder,28,Apple
Ryan Fritz,27,Orange
Carolyn Benton,19,Watermelon
Alison May,26,Watermelon
Tammy Barnett,30,Banana
Ronnie Williams,25,Orange
Jessica Patel,24,Banana
Courtney Perez,22,Pineapple
Carlos Greene,18,Peach
Alexis Lewis DVM,21,Orange
William Robinson,26,Banana
Heather Houston,25,Pineapple
Colleen Kelley,21,Pineapple
Pamela Ellison,25,Banana
Elizabeth Collins,23,Apple
Jerome Bullock,21,Watermelon
Suzanne Lin,20,Watermelon
Isaiah Hill,30,Peach
Robert Collins,27,Apple
Andrew Bryant,26,Watermelon
Michael Lucas,20,Banana
Michael Roman,19,Banana
Michael Gilbert,20,Peach
Shirley Hamilton,28,Melon
Sarah Sanchez,24,Banana
Nicholas Brandt,24,Watermelon
Jamie Cox,19,Apple
Kelly Diaz,22,Pineapple
Emily Brown,18,Peach
Christine Lopez,23,Apple
Ernest Carter,26,Peach
Glenn Phillips,21,Melon
David Padilla,18,Watermelon
Kelly Ross,21,Peach
Courtney Wilson,22,Pineapple
Gregg Pearson,24,Melon
Christopher King,30,Apple
Rodney Phelps,23,Watermelon
Taylor Rodgers,25,Banana
Charles Nunez,20,Watermelon
Joe Chandler,29,Pineapple
Jacob Williams,30,Watermelon
Shane Hodge,20,Pineapple
Jonathan Kane Jr.,24,Banana
Laurie Graves,19,Banana
Brian Lindsey,20,Orange
Reginald Landry,20,Apple
Ann Morse,24,Apple
Natalie Smith,21,Pineapple
