Name,Age,City,Score
Mr. Juan Stein MD,16,Brownside,7
Darryl Wolf,13,West Williamside,10
Jessica Archer,12,Rhodeschester,4
Christian Smith,13,Sandytown,3
Joseph Page,11,South Sheliabury,5
James Stevens,16,East Ronaldburgh,9
Aaron Alexander,18,Heathchester,2
Maria Curry,17,New Albertstad,4
Jay Maxwell,16,Frankside,12
Antonio Gibson MD,13,East Ronaldbury,6
Frank Cross,16,Richardbury,11
Beth Flores,13,Melissamouth,3
Jeffrey Williams,17,East Daisyburgh,11
Brandon Bowers,12,Port Charlesburgh,10
Ronald Kline,15,Jonestown,2
Tyrone Martin,18,East Rachelton,11
Kimberly Williams,11,Elizabethburgh,8
John Brown,15,Andrewside,7
Marissa Smith,10,Baileyview,5
Judith Foster,18,West Christinetown,1
Erin Black,16,Port Joshuaport,4
Jessica Phillips,15,Harveyville,9
Donald Schneider,11,Christinachester,8
Amanda Williams,18,Barnesport,4
Matthew Oneal,17,Stephensonstad,1
Eric White,15,Erinport,3
Mr. Jesus Mccoy,13,Joshuaborough,12
Lori Moore,12,Dannybury,12
Courtney Torres,17,Port Jeff,10
John Salazar,12,Devinville,9
Nathan Jackson,12,Derekfort,1
Matthew Hill,11,Davidberg,1
Gary Aguilar,12,Nicolefurt,8
David Molina,16,Lake Angela,2
David Jones,16,Stephenmouth,11
Daniel Martin,11,Sanchezburgh,3
Hannah Holland,14,Kristinfurt,10
Patrick Wheeler,10,Carlyberg,7
Christine Gonzalez,15,Morahaven,3
Crystal Riley,18,North Timothy,7
Pamela Lucas,13,Durhamport,1
Daniel Olson,13,Lake Angelaview,8
Curtis Roberts,14,South Roberto,9
Susan Williams,16,Lozanoville,3
Kristine Hood,15,South Danielfurt,12
Monica Nguyen,17,East Keith,1
Jennifer Owen,12,Andreport,12
Ronald Jimenez,12,West Anna,10
Linda Smith,16,Gardnerchester,2
Jenna Jefferson,11,Lake Davidchester,2
Matthew Richardson MD,12,Masseyport,5
Robert Taylor,12,South Jenniferborough,3
Gerald Hobbs,16,Nguyenbury,3
Ana Harper,13,Keithview,9
Henry Brady,15,East Jodi,8
Lisa Carr,13,Christinaville,5
Mary Hicks,11,Rhondaberg,6
Bryan Hall,12,Martinezbury,11
Darlene Ruiz,11,Murphyland,9
Melissa Santana,14,North Robinborough,1
Kyle Sullivan,10,Dennisburgh,6
Glen Bass,13,North Todd,7
Elizabeth Contreras,16,Michaelstad,6
Patricia Mcdonald,16,Hardyton,7
Donna Whitehead,16,Lake Kathleenbury,6
Jerry Lee,18,Tamarafurt,2
Samantha Lawson,12,Port Nichole,1
Sierra Neal,15,Tammiehaven,12
Thomas Wilson,16,North Angela,8
Ryan Garcia,13,Hansonmouth,5
Heather Thomas,13,New Brianberg,11
Lauren Webb,14,Kerrville,2
Angela Moore,15,Sheilamouth,4
Allison Cordova,13,Daviston,7
Heather Day,14,Lake Melissa,8
Robert Williams,11,Melvinton,8
Kelly Smith,16,West Jamiestad,5
Ronald Spencer,11,Andreland,9
Linda Kennedy,14,Amandaton,11
Alicia Keller,15,Debraside,8
Justin Lopez,18,New Adam,3
Jeremy Nelson,14,Jenniferland,7
Laura Williams,14,Clayborough,7
Shawn Mcdonald,12,West Steven,5
Ryan Nguyen,16,New John,11
Antonio Potts,17,New Amberchester,4
Daniel Bryant,16,West Cindyton,6
Jonathan Richards,13,Lake Charleshaven,6
Joseph Warren,10,South Glenda,11
Aaron Vargas,15,Dannyland,12
Bryan Ware,14,Knightland,4
Alexander Richardson,12,Rileyville,11
Kelly Mcintyre,14,Rodriguezview,11
Dominique Flores,16,Jessicahaven,12
Felicia Cunningham,13,Allenmouth,7
Annette Joseph,15,Patrickhaven,11
Rose Jenkins,16,Port Andrew,1
Latoya Chambers,11,Port Timothy,9
Eric Hutchinson,18,Willisstad,4
Melissa Cruz,10,East Jamesborough,9
Janice Myers,14,East Tammychester,11
Nathan Robinson,12,East Jasonfurt,9
Bradley Edwards,17,Jenniferside,4
Samuel Tanner,14,Port Dana,12
Hannah Ramirez,16,Paceville,8
Ashley Williams,18,Lunastad,9
David Harris,14,East Veronicaland,4
Vicki Flores,10,Port Todd,2
Angela Mckay,14,East Ginaburgh,2
Norma Mccoy,10,Stevenstad,1
Brittany Reid,16,Haynesport,5
Darlene Williams,15,Manuelmouth,9
Heather Hood,14,Fuentesburgh,4
Mary Clark,11,Hubbardview,7
Tiffany Baker,16,Lake Reginald,3
Ashley Cunningham,14,New Robert,8
Tyler Black,15,New Susan,3
Scott Johnson,12,Lake Monica,8
Zachary Miller,16,Barkerbury,7
Jared Turner,18,Port Tracyfurt,12
Kyle Short,12,Port Ashley,6
Stephanie Hill,14,New Wesley,4
Daniel Owens,14,Torresbury,8
Michelle Moore,16,Stephanietown,3
Teresa Lowe,17,Coleberg,10
Heather Russell,17,Yvonneborough,11
Stephen Thomas,12,Lake Lauren,2
Johnny Williams,18,Port Stephanieborough,4
Kim Hernandez DVM,17,South Matthewport,9
David Calhoun,10,East Amandamouth,2
Jennifer Wolf,15,Lake Danielborough,8
Katherine Bradley,11,Port Christophermouth,6
Michael Middleton,10,Gonzaleztown,10
Angelica Gilbert,18,Port Tammy,5
Kristin Byrd,10,Powellberg,10
Alicia Howard,15,Joeland,7
Samantha Wright,14,New Emily,3
Adam Walker,12,Lake Nicholasview,10
Michael Leblanc,10,Schultzshire,7
Joseph King,10,Lake Michaelside,1
Michael Jones,15,Port Cody,9
Susan Underwood,13,Bauerburgh,9
Jason Oconnor,14,New Donna,3
Kevin Anderson,17,South Joseside,1
Joel Oconnor,16,Kathrynfort,4
Tracy Holder,13,Samanthaside,2
Jonathan Beltran,17,Lake Jasmineton,3
Haley Williams,14,New Chelseaburgh,5
Aaron Walters,15,Taylorside,2
Corey Hamilton,18,New Kimberly,4
Edward Schaefer,18,Annburgh,3
Dr. Barbara Luna,15,West Zacharybury,11
Julie Guerrero,18,West Paul,2
Kristin Dominguez,11,Davidfort,12
Antonio Graham,12,Chavezville,3
Christopher Long,12,Hensonfurt,9
Jessica Manning,11,Port Michael,1
Kristina Mendoza,18,Frankmouth,11
David Robinson,16,Lesliebury,3
James Moore,15,Lake Wyatttown,12
Donna Christensen,13,Bryanside,10
Michael Williams,12,West Codyport,6
Jose Malone,10,Rachaelview,6
Andrea Vasquez,16,Kaylatown,4
Ryan Malone,14,Anthonyhaven,3
Debra Wright,11,Lake Ian,3
Priscilla Lewis,17,Morganhaven,11
Dustin Wright DVM,18,East Krystal,12
Paul Ross,10,North Thomasland,4
Jeremy Ramirez,16,Haynesfurt,11
Mary Taylor,11,Port Rodney,4
Jeremy Curtis,17,Lake Janiceburgh,12
Heidi Christian,11,Lisachester,3
Andrew Welch,12,Jessicaland,8
Miguel Tate,15,East Jennifer,5
Chad Pena,15,Gregorystad,10
Lori Rowland,10,Oconnorstad,10
Mark Hall,16,West Rebeccahaven,1
Pamela Zamora,14,Lake Kathryn,3
Kathryn Campbell,12,West Andrew,1
William Wallace,14,East Donaldmouth,9
Nicholas Long,14,North Johnfort,5
Brent Norris,11,Cruzport,8
Brittany Buchanan,16,Lake Stephaniemouth,2
Daniel Phillips,10,Port Sandyberg,6
Stuart Mendoza,12,Lake Robertbury,10
Natasha Jones,15,Cynthiafort,6
Dr. Michael Watkins Jr.,15,Smithberg,1
Rachel Vasquez,16,Bethberg,5
Barbara Conway,13,New Francesfort,9
Jamie Walton,12,Adammouth,12
Laurie Brewer,10,Lorraineton,5
Victoria Henry,16,Russellchester,7
David Meyer,18,New Tonya,12
Perry Smith,13,North Carmenchester,3
Carla Braun,18,West Hailey,7
Anita King,10,Port Julian,4
Jacob Wells DDS,13,New Daniel,11
Tonya Williams,14,Cunninghamberg,3
Lauren Grant,11,North Matthewburgh,7
Tracey Barnes,10,Kaitlynside,10
Anne Brown,10,New Jenniferberg,4
Cynthia Clark,12,Danielleview,3
Mark Craig,14,Kimville,1
Craig Wells,14,South Jenniferport,3
Lisa Beck,16,North Laurenport,3
Xavier Jensen,10,South Brett,11
Melinda Smith,10,Port Paul,9
William Richardson,16,Ginabury,8
Richard Baker,11,Riverabury,3
David King,13,Henryfurt,6
Sarah Johnson,16,North Candacebury,3
Chad Brown,17,North Alexandermouth,10
Jacob Vargas,11,West Amandaberg,6
Marc Sanders,18,Port Linda,3
Lindsey Sanders,13,North Davidport,12
Jonathan Garcia,17,South Craig,4
Willie Vang,11,Wayneview,7
Ashley Thompson,13,Nicholsontown,3
Diana Wilson,12,New Sarah,8
John Contreras,13,Lake Frank,3
Jason Thomas,14,New Samanthaside,3
Howard Anderson,18,New Gregory,11
Regina Villanueva,18,Lake Conniestad,9
Cathy Gonzalez,11,North Donaldtown,4
Aaron Porter,13,Paultown,9
Travis Jackson,13,Walkerstad,11
Catherine Mccormick,16,Lake Pamelaberg,7
Kimberly Haney,18,Robertsview,9
Katherine Hill,11,South William,4
Amber Santos,14,North Kimborough,6
Jennifer Smith,15,Lake Anneville,8
Angela Kramer DDS,13,New Cynthia,2
Nicole Marsh,10,Jenniferchester,1
Jonathan Thomas,16,Lisachester,1
John Martinez,15,Stephaniechester,4
Teresa Lewis,10,Lake Craigborough,11
Brenda Nichols,14,Jonathanhaven,3
Anthony Watson,14,New Laura,11
Douglas Carlson,14,South Fernandotown,1
Susan Cruz,18,New Susan,5
Edward Silva,13,Kingview,12
Jasmine Martinez,15,Greenshire,2
Eric Hull,12,South Bradhaven,6
Tasha Garcia,16,South Jose,3
Melissa Johnson,14,Brianton,9
Tyler Dunlap,14,Williamberg,4
Kimberly Wilson,17,West Jasonberg,1
Jennifer Young,10,Lake David,6
Erica Atkins,13,Vasquezton,3
John Stevens,11,Nicolebury,7
Dr. Mackenzie Garrison,10,West Wandaton,6
Miss Kathleen Matthews,15,Josefort,7
Allen Garcia,13,Robertfort,9
Colleen Rodriguez,12,South Josephshire,2
Jennifer Torres,10,Danielfort,1
Maureen King,12,Lake Cynthialand,4
Jay Cannon,13,West Michaelmouth,6
Tanya Sanchez,14,Kingfurt,2
Matthew Clark,10,Markfort,7
Kari Webster,11,Rogerland,11
Evan Nelson,16,Bethton,2
Jason Garcia,15,Cruzfort,8
Bryan Clayton,16,Richardmouth,9
Bryan Burns,16,West Christopher,9
Nathaniel Morgan,14,Gabrielaville,6
Darius Nichols,15,Lake Mason,2
Timothy Horn,14,North Jesse,9
Seth Green,13,Josephland,2
Wendy Mccoy,10,Glennstad,4
Alice Davis,14,Wellsview,6
Dr. Jon Mitchell,11,Lake Johnton,5
Jeffrey Stone,14,Richardfort,10
Autumn Harris,13,New Tammietown,4
Gregory Chan,17,East Lisafort,11
Sergio Oliver,17,Lake Joanview,9
Patrick Murphy,10,New Kimberlyville,10
Michael Knight,14,South Tylerstad,2
Helen Zimmerman,16,Thomasview,2
Brenda Johnson,10,Williamborough,5
Stephanie Beck,17,West Aaronmouth,12
John Greene,17,Mooreburgh,7
Diana Rios,15,Ellisborough,9
Matthew Diaz,13,Kimberlyburgh,10
James Grimes,18,Youngbury,2
Kristin Powell,14,Jonesberg,7
Alexandra Manning,13,Johnsonport,2
Bryan Powell,14,East Paulstad,8
Kristen Carney MD,17,Port Michelle,6
Christopher Duncan,11,West Michelefort,12
Jason Bond,10,North Alyssamouth,1
Matthew Baker,11,Smithview,11
Courtney Mcclure,12,Toddfort,7
Erica Foster,13,West Ann,7
Stephanie Ramirez,10,Michaelton,1
Erik Willis,11,Jamesville,6
Paul Harmon,13,New Tyler,4
Toni Mathews,11,Taylorside,1
Wanda Taylor,16,Lake Michael,5
Steven Taylor,12,Port Amanda,3
Veronica Scott,14,Lake Jerome,3
Krystal Taylor,16,Christyborough,2
James Kim,14,Timothyshire,3
Jason Smith,16,Davidshire,7
Joshua Mcdaniel,11,North Robertmouth,2
John Wolf,14,Eatonstad,9
James White,14,Cathyton,5
George Johnson,12,Levineborough,5
Noah Ponce,11,West Jamesport,1
Suzanne Lewis,11,North Alexandra,5
Jason Payne,17,Williamsport,7
Mr. Jonathan Whitaker V,12,New Chelseashire,5
Lisa Hall,17,Williamburgh,4
Kathleen Jones,18,Robertsbury,5
Patrick Mckinney,17,Rickytown,5
Regina Krause,18,West Mark,5
Natalie Russo,12,Lake Dana,8
William Perez,14,Lake Anna,3
Tammy Morris DVM,13,Weissville,6
Theodore Bowers,18,South Rickyville,3
Cassie Sampson,18,South Heidi,4
Meagan Gamble,15,New Jose,10
Amy Patterson,18,Caldwellburgh,2
Andrew Booth,13,East Amanda,9
Colleen Smith,16,Amandaville,3
Jacob Pineda,10,South Tyrone,6
Lori Ramos,16,Wrightport,10
Michelle Garcia,11,New Nicole,1
James Spears,16,Andrewfurt,2
Joseph Lopez,16,South Henry,8
Laura Harris,11,New John,2
Katherine Adams,10,Philipchester,4
Collin White,11,Muellermouth,4
Julie Johnson MD,14,West Spencer,4
Joshua Whitehead,11,Lake Patrickview,3
Taylor Kennedy,14,East Meghan,12
Jennifer Thompson,14,Lake Daniel,3
Amanda Serrano,18,Graceton,11
Jordan Benson,13,Jenningsfurt,2
Ronald Acosta,11,Mitchelltown,6
Benjamin Clark,10,East Charleshaven,4
Carrie Mcdonald,14,South Terri,7
Michael Moreno,15,Morrisonview,9
Jose Vaughan,10,Saraport,8
Marcia Campbell,14,Edwardsfurt,8
Walter Mathis,18,Boyerbury,10
Keith Smith,15,Jackfurt,4
Amanda Larson,15,Myersmouth,3
Robert Morton,10,East Jenniferview,12
Allison Tucker,15,South Meredith,12
Desiree Goodman,18,Bowmanborough,11
Angelica Torres,13,North Melissa,4
Michael Castillo,18,Mayton,10
Timothy Cox II,16,Thompsonport,12
Joyce King,17,Lopezborough,3
David Johnson,15,Simpsonberg,9
Maria Bowen,12,New Steven,12
Kelsey Garza,18,New Sharon,9
Patrick Jordan,14,South Angelaview,1
Jeremy Osborn,10,South Jenniferhaven,10
Cindy Daniels,15,Port Andrew,3
Amanda Hernandez,12,Juliemouth,7
Angela Ritter,10,Brownstad,2
Brent Atkins,18,West Brian,6
Jacqueline Hunt,18,Mayburgh,5
Zachary Sanders,15,Lake Eric,3
Blake Hicks,18,South Cherylmouth,6
Angela Davidson,11,East Rogerfort,12
Larry Carter,18,Port Tylerfurt,5
Cassandra Chapman,10,West Martin,11
Dr. Laurie Turner,15,Erikmouth,7
Nicole Bradshaw,13,East Garrettshire,11
Taylor Clark,12,New Christine,1
Diana Lawson,12,Richardsonstad,11
Ryan Murray,11,Michaelchester,8
